site,date ,time,point_id,utm_easting,utm_northing,utm_zone,elevation,ortho_HT,ins_HT,h_acc,v_acc
GSA,6/20/2025,8:38:59,GSA-C2,193834.2694,5621752.161,13N,677.9436,0,0,0.16,0.29
SNAS,5/30/2025,8:18:36,SNAS-B3,168480.1706,5448872.961,13N,928.4251,0,0,0.1509,0.2661
